playerID,birth_year,name_first,name_last,weight,height,bats,throws,debut,final_game,retro_id,bbref_id
syndeno01,1992.0,Noah,Syndergaard,240.0,78.0,L,R,2015-05-12,2015-10-03,syndn001,syndeno01
szczuma01,1989.0,Matt,Szczur,200.0,72.0,R,R,2014-08-17,2015-10-03,szczm001,szczuma01
szumija01,1978.0,Jason,Szuminski,220.0,77.0,R,R,2004-04-11,2004-05-09,szumj001,szumija01
tabakje01,1964.0,Jeff,Tabaka,195.0,74.0,R,L,1994-04-19,2001-10-05,tabaj001,tabakje01
tabatjo01,1988.0,Jose,Tabata,210.0,71.0,R,R,2010-06-09,2015-06-25,tabaj002,tabatjo01
tablepa01,1958.0,Pat,Tabler,175.0,75.0,R,R,1981-08-21,1992-10-04,tablp001,tablepa01
taborgr01,1961.0,Greg,Tabor,165.0,72.0,R,R,1987-09-10,1987-10-04,tabog001,taborgr01
tackeje01,1965.0,Jeff,Tackett,200.0,74.0,R,R,1991-09-11,1994-08-02,tackj001,tackeje01
tadanka01,1980.0,Kazuhito,Tadano,180.0,72.0,R,R,2004-04-27,2005-07-16,tadak001,tadanka01
tagucso01,1969.0,So,Taguchi,170.0,70.0,R,R,2002-06-10,2009-10-04,tagus001,tagucso01
takahhi01,1975.0,Hisanori,Takahashi,180.0,70.0,L,L,2010-04-07,2013-04-11,takah001,takahhi01
takahke01,1969.0,Ken,Takahashi,200.0,72.0,L,L,2009-05-02,2009-09-25,takak001,takahke01
takatsh01,1968.0,Shingo,Takatsu,180.0,72.0,R,R,2004-04-09,2005-10-02,takas001,takatsh01
talbomi01,1983.0,Mitch,Talbot,180.0,73.0,R,R,2008-09-15,2011-09-24,talbm001,talbomi01
tallebr01,1977.0,Brian,Tallet,220.0,78.0,L,L,2002-09-16,2011-08-30,tallb001,tallebr01
tamje01,1970.0,Jeff,Tam,202.0,73.0,R,R,1998-06-30,2003-07-09,tam-j001,tamje01
tanakke01,1981.0,Kensuke,Tanaka,170.0,69.0,L,R,2013-07-09,2013-07-28,tanak001,tanakke01
tanakma01,1988.0,Masahiro,Tanaka,210.0,74.0,R,R,2014-04-04,2015-09-30,tanam001,tanakma01
tankede01,1979.0,Dennis,Tankersley,185.0,74.0,R,R,2002-05-10,2004-09-04,tankd001,tankede01
tanketa01,1983.0,Taylor,Tankersley,210.0,72.0,L,L,2006-06-03,2010-08-16,tankt001,tanketa01
tannebr01,1961.0,Bruce,Tanner,220.0,75.0,L,R,1985-06-12,1985-09-28,tannb001,tannebr01
tapanke01,1964.0,Kevin,Tapani,180.0,72.0,R,R,1989-07-04,2001-09-27,tapak001,tapanke01
tarasto01,1970.0,Tony,Tarasco,185.0,72.0,L,R,1993-04-30,2002-09-01,tarat001,tarasto01
tartada01,1962.0,Danny,Tartabull,185.0,73.0,R,R,1984-09-07,1997-04-07,tartd001,tartada01
tartatr01,1987.0,Travis,Tartamella,205.0,72.0,R,R,2015-09-23,2015-10-02,tartt001,tartatr01
tarvela01,1959.0,La Schelle,Tarver,165.0,71.0,L,L,1986-07-12,1986-10-05,tarvl001,tarvela01
taschja01,1978.0,Jack,Taschner,190.0,75.0,L,L,2005-06-11,2010-07-28,tascj001,taschja01
tatajo01,1981.0,Jordan,Tata,220.0,78.0,R,R,2006-04-06,2007-08-10,tataj001,tatajo01
tatest01,1962.0,Stu,Tate,205.0,75.0,R,R,1989-09-20,1989-09-30,tates001,tatest01
tateyyo01,1975.0,Yoshinori,Tateyama,165.0,70.0,R,R,2011-05-24,2012-09-26,tatey001,tateyyo01
tatisfe01,1975.0,Fernando,Tatis,185.0,71.0,R,R,1997-07-26,2010-07-04,tatif001,tatisfe01
tatisra01,1973.0,Ramon,Tatis,185.0,74.0,L,L,1997-04-06,1998-09-27,tatir001,tatisra01
tatumcr01,1983.0,Craig,Tatum,225.0,73.0,R,R,2009-07-21,2011-09-25,tatuc001,tatumcr01
tatumji01,1967.0,Jim,Tatum,200.0,74.0,R,R,1992-09-18,1998-06-11,tatuj001,tatumji01
taubeed01,1968.0,Ed,Taubensee,205.0,76.0,L,R,1991-05-18,2001-10-07,taube001,taubeed01
taubety01,1982.0,Ty,Taubenheim,200.0,77.0,R,R,2006-05-20,2008-06-28,taubt001,taubety01
tavarje01,1971.0,Jesus,Tavarez,170.0,72.0,B,R,1994-05-23,1998-06-15,tavaj002,tavarje01
tavarju01,1973.0,Julian,Tavarez,165.0,74.0,L,R,1993-08-07,2009-07-19,tavaj001,tavarju01
taveral01,1955.0,Alex,Taveras,155.0,70.0,R,R,1976-09-09,1983-10-02,tavea101,taveral01
taveros01,1992.0,Oscar,Taveras,200.0,74.0,L,L,2014-05-31,2014-09-28,taveo001,taveros01
taverwi01,1981.0,Willy,Taveras,180.0,72.0,R,R,2004-09-06,2010-05-15,tavew001,taverwi01
tayloaa01,1977.0,Aaron,Taylor,230.0,79.0,R,R,2002-09-09,2004-10-02,tayla001,tayloaa01
tayloan01,1986.0,Andrew,Taylor,205.0,74.0,R,L,2012-09-27,2012-10-03,tayla002,tayloan01
taylobi04,1961.0,Billy,Taylor,200.0,80.0,R,R,1994-04-05,2001-04-08,taylb001,taylobi04
tayloch03,1990.0,Chris,Taylor,195.0,73.0,R,R,2014-07-24,2015-07-30,taylc001,tayloch03
taylodo01,1958.0,Dorn,Taylor,180.0,74.0,R,R,1987-04-30,1990-09-30,tayld002,taylodo01
taylodw01,1960.0,Dwight,Taylor,166.0,69.0,L,L,1986-04-14,1986-04-23,tayld001,taylodw01
taylogr01,1984.0,Graham,Taylor,225.0,75.0,L,L,2009-04-26,2009-05-06,taylg001,taylogr01
tayloke01,1971.0,Kerry,Taylor,200.0,75.0,R,R,1993-04-13,1994-06-26,taylk001,tayloke01
taylomi01,1985.0,Michael,Taylor,255.0,77.0,R,R,2011-09-02,2014-09-28,taylm001,taylomi01
taylomi02,1991.0,Michael,Taylor,210.0,75.0,R,R,2014-08-12,2015-10-04,taylm002,taylomi02
taylore01,1977.0,Reggie,Taylor,175.0,73.0,L,R,2000-09-17,2005-06-22,taylr001,taylore01
taylosc01,1967.0,Scott,Taylor,185.0,73.0,L,L,1992-09-17,1993-10-03,tayls001,taylosc01
taylosc02,1966.0,Scott,Taylor,200.0,75.0,R,R,1995-07-28,1995-08-07,tayls002,taylosc02
taylote01,1964.0,Terry,Taylor,180.0,73.0,R,R,1988-08-19,1988-09-20,taylt001,taylote01
taylowa01,1965.0,Wade,Taylor,185.0,73.0,R,R,1991-06-02,1991-09-26,taylw001,taylowa01
tazawju01,1986.0,Junichi,Tazawa,200.0,71.0,R,R,2009-08-07,2015-09-11,tazaj001,tazawju01
teafoev01,1984.0,Everett,Teaford,160.0,72.0,L,L,2011-05-17,2015-07-07,teafe001,teafoev01
teagata01,1983.0,Taylor,Teagarden,210.0,72.0,R,R,2008-07-18,2015-07-26,teagt001,teagata01
teahema01,1981.0,Mark,Teahen,230.0,75.0,L,R,2005-04-04,2011-09-28,teahm001,teahema01
teherju01,1991.0,Julio,Teheran,200.0,74.0,R,R,2011-05-07,2015-10-02,tehej001,teherju01
teixema01,1980.0,Mark,Teixeira,225.0,75.0,B,R,2003-04-01,2015-08-26,teixm001,teixema01
tejadmi01,1974.0,Miguel,Tejada,220.0,69.0,R,R,1997-08-27,2013-08-10,tejam001,tejadmi01
tejadru01,1989.0,Ruben,Tejada,200.0,71.0,R,R,2010-04-07,2015-10-04,tejar001,tejadru01
tejadwi01,1962.0,Wilfredo,Tejada,175.0,72.0,R,R,1986-09-09,1988-10-02,tejaw001,tejadwi01
tejedro01,1982.0,Rob,Tejeda,245.0,74.0,R,R,2005-05-10,2011-05-25,tejer001,tejedro01
tejermi01,1976.0,Michael,Tejera,175.0,69.0,L,L,1999-09-08,2005-06-09,tejem001,tejermi01
tekotbl01,1987.0,Blake,Tekotte,180.0,71.0,L,R,2011-05-25,2013-08-11,tekob001,tekotbl01
telemam01,1974.0,Amaury,Telemaco,220.0,76.0,R,R,1996-05-16,2005-07-01,telea001,telemam01
telfoan01,1966.0,Anthony,Telford,175.0,72.0,R,R,1990-08-19,2002-07-15,telfa001,telfoan01
telghda01,1966.0,Dave,Telgheder,212.0,75.0,R,R,1993-06-12,1998-06-02,telgd001,telghda01
telisto01,1991.0,Tomas,Telis,215.0,68.0,B,R,2014-08-25,2015-10-04,telit001,telisto01
templga01,1956.0,Garry,Templeton,175.0,71.0,B,R,1976-08-09,1991-10-05,tempg001,templga01
teperry01,1987.0,Ryan,Tepera,180.0,73.0,R,R,2015-05-10,2015-10-04,teper001,teperry01
tepesni01,1988.0,Nick,Tepesch,240.0,76.0,R,R,2013-04-09,2014-09-26,tepen001,tepesni01
terdojo01,1988.0,Joey,Terdoslavich,200.0,74.0,B,R,2013-07-04,2015-08-18,terdj001,terdojo01
terrelu01,1980.0,Luis,Terrero,205.0,75.0,R,R,2003-07-10,2007-09-30,terrl001,terrelu01
terrewa01,1958.0,Walt,Terrell,205.0,74.0,L,R,1982-09-18,1992-10-02,terrw001,terrewa01
terrysc01,1959.0,Scott,Terry,195.0,71.0,R,R,1986-04-09,1991-09-13,terrs001,terrysc01
tessmja01,1971.0,Jay,Tessmer,190.0,75.0,R,R,1998-08-27,2002-04-04,tessj001,tessmja01
tettlmi01,1960.0,Mickey,Tettleton,200.0,74.0,B,R,1984-06-30,1997-07-02,tettm001,tettlmi01
teufeti01,1958.0,Tim,Teufel,175.0,72.0,R,R,1983-09-03,1993-09-28,teuft001,teufeti01
teutna01,1976.0,Nate,Teut,220.0,79.0,R,L,2002-05-04,2002-06-27,teutn001,teutna01
tewksbo01,1960.0,Bob,Tewksbury,200.0,76.0,R,R,1986-04-11,1998-09-26,tewkb001,tewksbo01
texeika01,1986.0,Kanekoa,Texeira,190.0,74.0,R,R,2010-04-06,2011-04-20,texek001,texeika01
thameer01,1986.0,Eric,Thames,210.0,72.0,L,R,2011-05-18,2012-10-01,thame001,thameer01
thamema01,1977.0,Marcus,Thames,220.0,74.0,R,R,2002-06-10,2011-07-06,thamm001,thamema01
thatcjo01,1981.0,Joe,Thatcher,230.0,74.0,L,L,2007-07-26,2015-10-02,thatj001,thatcjo01
thayeda01,1980.0,Dale,Thayer,210.0,72.0,R,R,2009-05-22,2015-08-10,thayd001,thayeda01
theriry01,1979.0,Ryan,Theriot,185.0,71.0,R,R,2005-09-13,2012-10-03,therr001,theriry01
thielca01,1987.0,Caleb,Thielbar,205.0,72.0,R,L,2013-05-20,2015-04-30,thiec001,thielca01
thigpbo01,1963.0,Bobby,Thigpen,195.0,75.0,R,R,1986-08-06,1994-04-27,thigb001,thigpbo01
thigpcu01,1983.0,Curtis,Thigpen,190.0,71.0,R,R,2007-06-06,2008-09-26,thigc001,thigpcu01
thobejj01,1970.0,J. J.,Thobe,200.0,78.0,R,R,1995-09-18,1995-09-29,thobj001,thobej.01
